Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.641929142468923,0.853564940458379,1.26807734088248,0,0,0,0.181351463811566,4.64352580271838E-05,-5.0490425023366E-06,1.60859697843744E-06,5.5379297751376E-05,4.03261302338248E-08,6.94511914111561E-05,0,0,0,0,0,0,package://dex_for_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/base_link.STL,,baselink_hub-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_proximal_link,0.00943087376540608,0.0242260476197766,0.0314059170690273,0,0,0,0.0465101392877533,9.30548574727843E-06,-7.39532123026654E-07,-1.17050833013237E-06,8.62330334162714E-06,-2.82186822471655E-06,5.32449528366124E-06,0,0,0,0,0,0,package://dex_for_urdf/meshes/thumb_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/thumb_proximal_link.STL,,thumblink_proximal-1,Origin_proxthumbjt,Axis_proxthumbjt,proxthumbjt,continuous,0.664698049096623,-1.27050066917983,0.814586879190688,1.5707963267949,0,0.636970856441748,base_link,0,1,0,,,,,,,,,,,,
thumb_middle_link,-0.0147085424490503,-0.0022359769691106,0.00146049999999354,0,0,0,0.00237356483439232,1.29616441015468E-07,3.65292485570084E-08,-3.87120526674817E-22,2.67532655893698E-07,-3.50724579722484E-22,1.95973867602164E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/thumb_middle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/thumb_middle_link.STL,,ThumbBaseLink-1,Origin_midthumbjt,Axis_midthumbjt,midthumbjt,continuous,0.0146515478673566,0.0469839038586194,0.0583465730403765,-1.86431062795871,0.570167700999992,-1.73251487627611,thumb_proximal_link,0,0,1,,,,,,,,,,,,
thumb_distal_link,0.00252187363152856,0.011624134713339,0.00386175438141101,0,0,0,0.00454227086585782,1.9260920328424E-07,-1.62081918690406E-08,1.30476449015295E-08,1.98487074125629E-07,-5.12079562162879E-08,2.46837106543801E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/thumb_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/thumb_distal_link.STL,,thumbtiplink-1,Origin_distalthumbjt,Axis_distalthumbjt,distalthumbjt,continuous,-0.0311623945164679,0.00457200000000002,0,-3.14159265358972,-1.32477097525061,-1.86450625905758,thumb_middle_link,0.969888109539163,0,-0.243550928913335,,,,,,,,,,,,
pointer_proximal_link,-0.0212397453796422,-0.00455683053787204,-0.00749508167179203,0,0,0,0.00340351995438899,1.90350853204294E-07,2.21224211582987E-08,2.6306349650022E-10,5.6876923490411E-07,3.2288254007045E-11,5.41183653928771E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/pointer_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/pointer_proximal_link.STL,,FingerBaseLink-7,Origin_proxpointerjt,Axis_proxpointerjt,proxpointerjt,continuous,0.665650549096623,-1.27964466917983,0.898125438097141,1.5707963267949,1.54971350600786,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
pointer_middle_link,0.0148334053538077,-0.0043478174193734,0.00798443440700758,0,0,0,0.00291570286046311,9.9152566435551E-08,1.20393203024074E-08,1.8573568428043E-08,3.46628549122708E-07,-1.28947331876373E-09,3.24595383967733E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/pointer_middle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/pointer_middle_link.STL,,Copy of FingerMiddleLink^dex_for_urdf-3,Origin_midpointerjt,Axis_midpointerjt,midpointerjt,continuous,-0.0431800000000068,0,-0.00025400000000575,3.14159265358979,0,2.90227433271792,pointer_proximal_link,0,0,1,,,,,,,,,,,,
pointer_distal_link,0.00313849628090379,0.011691147358903,-0.00748905404587286,0,0,0,0.00355018220256363,1.88836780110076E-07,-8.58534443923462E-09,-1.53025119292648E-09,8.3774189207232E-08,-7.02657699368693E-09,1.6207326893582E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/pointer_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/pointer_distal_link.STL,,fingertip_link-3,Origin_distalpointerjt,Axis_distalpointerjt,distalpointerjt,continuous,0.02667,0,0.000254,3.1416,0,1.6037,pointer_middle_link,0,0,1,,,,,,,,,,,,
middle_proximal_link,-0.0212923689434312,-0.00456812016141717,-0.00747776118326027,0,0,0,0.00339510694405002,1.89751783332399E-07,2.2938562382008E-08,-9.89033727413894E-10,5.64541180329566E-07,-2.36339305981695E-10,5.37182102142717E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/middle_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/middle_proximal_link.STL,,FingerBaseLink-8,Origin_proxmiddlejt,Axis_proxmiddlejt,proxmiddlejt,continuous,0.64774,-1.2796,0.89813,1.5708,1.461,-1.5708,base_link,0,0,1,,,,,,,,,,,,
middle_middle_link,0.0148334053538075,-0.0043478174193734,0.00798443440700736,0,0,0,0.00291570286046311,9.91525664355507E-08,1.20393203024075E-08,1.85735684280425E-08,3.46628549122705E-07,-1.28947331876397E-09,3.2459538396773E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/middle_middle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/middle_middle_link.STL,,Copy of FingerMiddleLink^dex_for_urdf-4,Origin_midmiddlejt,Axis_midmiddlejt,midmiddlejt,continuous,-0.04318,0,-0.000253999999999865,3.14159265358979,0,2.25803720163224,middle_proximal_link,0,0,1,,,,,,,,,,,,
middle_distal_link,0.00313849628090379,0.0116911473589025,-0.00748905404587308,0,0,0,0.00355018220256362,1.88836780110076E-07,-8.58534443923484E-09,-1.53025119292645E-09,8.37741892072318E-08,-7.02657699368699E-09,1.6207326893582E-07,0,0,0,0,0,0,package://dex_for_urdf/meshes/middle_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dex_for_urdf/meshes/middle_distal_link.STL,,fingertip_link-2,Origin_distalmiddlejt,Axis_distalmiddlejt,distalmiddlejt,continuous,0.0266699999999995,0,0.000254000000002863,3.14159265358979,0,1.04814775501242,middle_middle_link,0,0,1,,,,,,,,,,,,
